127.0.0.1, 2018-02-15 23:56:18, GET, /, HTTP/1.1, 303, 0.007463
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/default/index, HTTP/1.1, 200, 1.286645
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000440
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000414
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002324
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000467
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002042
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000850
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003807
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000361
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003200
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000421
127.0.0.1, 2018-02-15 23:56:20, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001480
127.0.0.1, 2018-02-15 23:56:26, GET, /examples/default/index, HTTP/1.1, 200, 0.089597
127.0.0.1, 2018-02-15 23:56:26, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.066512
127.0.0.1, 2018-02-15 23:56:26, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.065349
127.0.0.1, 2018-02-15 23:56:26, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.067318
127.0.0.1, 2018-02-15 23:56:26, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.068529
127.0.0.1, 2018-02-15 23:56:26, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.066207
127.0.0.1, 2018-02-15 23:56:26, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.072287
127.0.0.1, 2018-02-15 23:56:26, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2018-02-15 23:56:29, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002405
127.0.0.1, 2018-02-15 23:56:29, GET, /examples/static/images/favicon.png, HTTP/1.1, 200, 0.007008
127.0.0.1, 2018-02-15 23:56:29, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.006214
127.0.0.1, 2018-02-15 23:56:29, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001711
